Name,Price
AGRITECH,Final
GOLDENTOBC,496.15
MENONBE,52.15
OIL,109.55
BASML,573.80
MAANALU,38.25
SHILPAMED,140.00
UBL,405.35
TCIEXP,"1,687.85"
MVGJL,"1,001.40"
SMSLIFE,186.70
ASKAUTOLTD,602.90
JITFINFRA,243.55
ATL,486.55
UNIVCABLES,52.00
AVTNPL,394.95
BALAMINES,82.25
SASTASUNDR,"2,041.05"
SOLARINDS,287.15
SCHAEFFLER,"7,346.25"
APOLLOHOSP,"2,769.40"
20MICRONS,"6,008.40"
FRETAIL,137.10
CLEAN,2.50
HMT,"1,290.15"
BANDHANBNK,45.00
GICRE,178.70
WESTLIFE,317.40
ASAHISONG,715.80
FINCABLES,304.50
SMLISUZU,844.10
GMBREW,"1,779.55"
INDORAMA,584.20
RAMASTEEL,40.25
METROPOLIS,33.75
GSLSU,"1,587.80"
BCLIND,224.45
BALAXI,53.30
IIFLSEC,486.30
THOMASCOOK,115.45
NIITLTD,142.75
BLUEDART,102.05
TATAPOWER,"5,696.25"
BIRLACORPN,371.95
EASEMYTRIP,"1,434.65"
3MINDIA,41.65
GLOBUSSPR,"30,246.55"
INDIGOPNTS,723.15
SOUTHWEST,"1,308.65"
SAFARI,100.15
WEWIN,"1,711.55"
LGBBROSLTD,64.75
ASTRON,"1,120.75"
TRIVENI,23.60
BRNL,307.80
PEL,56.00
IDEAFORGE,822.85
SPTL,691.95
MONTECARLO,1.10
GOENKA,636.05
SHREECEM,0.85
KOTARISUG,"24,360.35"
BAJFINANCE,48.80
RUSHIL,"6,456.15"
CROMPTON,292.55
SURANAT&P,277.15
BCG,14.90
IVC,15.80
EMKAY,8.85
SITINET,112.30
GRANULES,0.65
BPCL,412.15
OCCL,597.75
IGPL,687.25
UCOBANK,414.80
BIRLAMONEY,48.15
FLFL,92.55
VERTOZ,2.45
HAPPSTMNDS,716.45
SCHAND,785.15
PREMEXPLN,227.65
CRISIL,"1,339.00"
IFGLEXPOR,"4,883.80"
CREST,482.10
FEDFINA,395.25
HARSHA,113.30
ADORWELD,369.75
GREENCHEF,"1,385.30"
GOYALALUM,70.70
MANALIPETC,8.85
MAHLOG,57.90
BEARDSELL,394.55
PGHL,35.60
SRF,"4,882.75"
MRO-TEK,"2,386.00"
ZODIACLOTH,58.05
SOBHA,106.10
ZAGGLE,"1,268.00"
BAYERCROP,293.30
AAVAS,"5,030.15"
JAYSREETEA,"1,339.65"
KUANTUM,93.95
GOODLUCK,146.70
M&M,788.90
TTKPRESTIG,"1,853.70"
TERASOFT,699.30
EVERESTIND,52.15
LEMONTREE,"1,091.20"
SICALLOG,125.00
SAH,190.50
LINDEINDIA,87.65
ZEEMEDIA,"6,057.95"
OSWALGREEN,10.45
PURVA,28.65
DELTACORP,177.50
CONCOR,118.25
RATNAMANI,862.45
MANINDS,"2,609.35"
LOKESHMACH,334.85
TEXRAIL,288.05
IDEA,145.10
SAMBHAAV,12.40
HAVELLS,5.20
BSL,"1,474.05"
EPIGRAL,169.85
EXICOM,969.35
OSWALSEEDS,177.05
HAPPYFORGE,30.80
UGARSUGAR,835.65
SUNDARMHLD,67.85
